,CommonName,Longitude,Latitude,Landmark,LSOA
103,Brookfield Drive,-2.950194609,53.46047496,Warehouse,E01006654
104,Hartley Avenue,-2.951591918,53.46166834,Warehouse,E01006785
105,Brookfield Drive,-2.948474937,53.45900547,Warehouse,E01006659
106,Brookfield Drive,-2.948777109,53.45904802,Warehouse,E01032511
107,Hanson Road,-2.946801616,53.45690638,Bowling Green,E01032511
108,Hanson Road,-2.946176852,53.45657874,Bowling Green,E01006659
109,Greenwich Road,-2.952743395,53.47138506,,E01006656
110,Foxhunter Drive,-2.947108014,53.47202313,Foxhunter Drive,E01006651
111,Foxhunter Drive,-2.946960238,53.47147599,,E01006656
112,Scarisbrick Drive,-2.933815618,53.4471209,,E01032510
113,Circular Road East,-2.918819271,53.43667534,,E01006604
114,Eastbourne Road,-2.955664568,53.46796396,,E01006656
115,Albany Road,-2.956083175,53.46715161,Childrens Playground,E01006780
116,Church Avenue,-2.955788868,53.46947308,St Peters Church,E01006780
117,Aintree Station,-2.955261598,53.47215597,Queens Arms PH,E01006780
118,Aintree Station,-2.955618469,53.47194637,,E01006780
119,Longmoor Lane,-2.954934734,53.46565068,Longmoor Lane Primary School,E01006783
120,Lower Lane,-2.928157078,53.46451342,A & E Entrance,E01006659
121,Swallowhurst Crescent,-2.915342757,53.44441445,Hail and Ride,E01006598
122,Clanfield Road,-2.912133952,53.44221877,Hail and Ride,E01006599
123,Clanfield Road,-2.912174489,53.44200272,Hail and Ride,E01006599
124,Muirhead Avenue East,-2.911208186,53.43976289,,E01006599
125,Muirhead Avenue East,-2.910933791,53.43960319,,E01006625
126,Seeds Lane,-2.948688013,53.47261285,,E01006656
127,Scarisbrick Road,-2.941492853,53.44839996,,E01032510
128,Orrell Park Station,-2.964414607,53.46188011,Community Centre,E01006784
129,Seeds Lane,-2.943264482,53.46854791,Seeds Lane,E01006654
130,Honeysuckle Drive,-2.955953511,53.45199749,Pampas Grove,E01032511
131,Lavender Way,-2.95530933,53.45214646,,E01032511
132,Rufford Close,-2.923810779,53.47454265,Playing fields,E01006653
133,Carr Lane East,-2.906416207,53.44873425,,E01006672
134,Carr Lane East,-2.906314649,53.44891479,,E01006672
135,Lewisham Road,-2.918731237,53.44166482,,E01033759
136,Veronica Close,-2.888128886,53.45198176,,E01006665
137,Parthenon Drive,-2.933448203,53.44684512,Parthenon Drive,E01032510
138,Manorbier Crescent,-2.962096195,53.45060882,Northcote Primary School,E01006791
139,Genista Close,-2.963267266,53.45112074,Northcote Primary School,E01006791
140,York Street,-2.966953847,53.44834935,York Street,E01006790
141,Denbigh Road,-2.966594168,53.44842417,,E01006790
142,Hanford Avenue,-2.96836456,53.46270209,Hanford Avenue,E01006784
143,Almonds Grove,-2.913319999,53.43434448,,E01006626
144,Haymans Green,-2.91359032,53.43431544,Margaret Bevan School,E01006626
145,Altcourse Prison,-2.935792583,53.46033697,Altcourse Prison,E01006659
146,Altcourse Prison,-2.937011772,53.46030045,Altcourse Prison,E01006659
147,Freesia Avenue,-2.951288976,53.4535089,,E01032511
148,Drake Close,-2.918574967,53.46721222,,E01006658
149,Lower Lane,-2.92689035,53.4616828,,E01006659
150,New Hall Cottages,-2.92272825,53.46978696,New Hall,E01006653
151,Stanley Park Avenue North,-2.951151559,53.44533914,,E01006613
152,Walton Hall Park,-2.95020357,53.44603882,Tennis Courts,E01006613
153,Alderville Road,-2.94584384,53.44701726,,E01006607
154,Abingdon Road,-2.945404188,53.44756007,Waltin Hall Park,E01006613
155,Mace Road,-2.902189723,53.44966513,Medical Centre,E01006664
156,Croxteth Hall Lane,-2.898725138,53.44675191,Croxteth Hall Lane,E01006669
157,No.49,-2.932408618,53.45162631,Stopgate Lane,E01032510
158,Fazakerley Station,-2.93567563,53.46871546,Fazakerley Station,E01006655
159,Fazakerley Station,-2.935952086,53.46895599,Fazakerley Station,E01006655
160,Bradville Road,-2.948498871,53.46683455,Farmers Arms PH,E01006652
161,Lewisham Road,-2.918412807,53.4415594,,E01033759
162,Sedgemoor Road,-2.926483158,53.44851734,,E01006736
163,Sedgemoor Road,-2.926601249,53.44840856,,E01006737
164,Parkview Road,-2.891732747,53.46155493,,E01006661
165,Parkview Road,-2.891643707,53.46161851,,E01006661
166,Parkview Road,-2.891450725,53.45815927,,E01006661
167,Parkview Road,-2.891120756,53.45822466,,E01006661
168,Warbreck Avenue,-2.95860851,53.46423698,Aintree Methodist Church,E01006783
169,Mansion Drive,-2.905059833,53.45363444,Mary Help of Christians Convent,E01006662
170,Fir Tree Drive South,-2.895426094,53.44810703,Croxteth Country Park,E01006667
171,Redvers Drive,-2.967487612,53.46454292,Burwen Drive,E01006781
172,Bull Lane,-2.967525092,53.46486622,The Warbeck PH,E01006781
173,Branthwaite Crescent,-2.9155674,53.4443588,Hail and Ride,E01006599
174,Marshgate Road,-2.903030851,53.44388795,,E01006669
175,Solar Road,-2.956104138,53.46473345,Solar Road,E01006783
176,Warbreck Moor,-2.956886072,53.46467326,Warbreck Moor,E01006783
177,Stopgate Lane,-2.941312065,53.45452278,Liver Industrial Estate,E01006659
178,LIver Industrial Estate,-2.943125673,53.45481409,Stopgate Lane,E01032511
179,Long Lane,-2.938264999,53.45292877,Government Training Centre,E01032510
180,Mater Close,-2.938132264,53.4523725,Government Training Centre,E01032510
181,Croxteth Hall Lane,-2.898420825,53.44660139,Croxteth Country Park,E01006627
182,Mansion Drive,-2.905758759,53.45392577,Mary Help of Christians Convent,E01006662
183,Stonedale Crescent,-2.907447791,53.45545004,Mary Help of Christians Convent,E01006662
184,Fir Grove,-2.949138308,53.47253736,,E01006656
185,Greenwich Road,-2.952289294,53.47128981,,E01006656
186,Liddell Road,-2.921558219,53.43385871,,E01006626
187,Altham Road,-2.92175185,53.43445946,,E01006604
188,Almonds Green,-2.91699329,53.43646466,,E01006626
189,Abbeyfield Drive,-2.895686188,53.44830284,Croxteth Country Park,E01006667
190,Wadebridge Road,-2.913442664,53.46461786,Clockhouse Bridge,E01006663
191,Greenwich Road,-2.948579188,53.46705863,Greenwich Road,E01006652
192,Goodacre Road,-2.952406522,53.46576075,Longmoor Grove,E01006657
193,Goodacre Road,-2.95239609,53.46596758,Fire Station,E01006657
194,Grace Road,-2.959028847,53.46350551,Grace Road,E01006783
195,Stonebridge Lane,-2.912154855,53.4628659,,E01006663
196,Stonebridge Lane,-2.911963538,53.46237297,,E01006660
197,Formosa Drive,-2.923684244,53.46941103,Dereham Crescent,E01006653
198,Stonedale Crescent,-2.907044228,53.45488681,Stonedale Crescent,E01006662
199,Stonedale Cresent,-2.9101334,53.45779366,Altbridge Park,E01006662
200,East Lancashire Road,-2.9097531,53.45761678,Altbridge Park,E01006663
201,Mace Road,-2.902102064,53.44908152,Medical Centre,E01006664
202,Burwen Drive,-2.967884284,53.4627779,,E01006782
203,Walton Prison,-2.970917497,53.45642514,,E01006787
204,Walton Prison,-2.971303864,53.45619727,,E01006787
205,Seventh Avenue,-2.940340876,53.46849905,,E01006654
206,Sixth Avenue,-2.940376763,53.46875944,,E01006654
207,Warbreck Moor,-2.956707165,53.46475559,Warbreck Moor,E01006783
208,Orrell Park Station,-2.961858355,53.46207151,The Windsor PH,E01006782
209,Walton Hall Avenue,-2.94183627,53.44758826,,E01006729
210,Muirhead Avenue East,-2.919097169,53.4369968,,E01006604
211,Lorenzo Drive,-2.918004399,53.43658273,,E01006604
212,Marldon Road,-2.912913329,53.43854537,Marldon Road,E01006625
213,Lewisham Road,-2.913488562,53.43869378,,E01006599
214,Meadow Lane,-2.909667827,53.44024206,Derby Mills PH,E01006625
215,Wingrave Way,-2.906787158,53.44211566,Millbrook College,E01006672
216,Carr Lane East,-2.909121756,53.44639457,,E01006672
217,Carr Lane,-2.910465368,53.44726524,,E01006672
218,West Derby Cemetery,-2.916186101,53.45141926,West Derby Cemetery,E01006662
219,Higher Lane,-2.94466593,53.46788964,Higher Lane,E01006652
220,Lower Lane,-2.927337827,53.46148157,,E01006659
221,Lower Lane,-2.930067119,53.45955472,,E01006659
222,Lower Lane,-2.930610415,53.45960442,,E01006659
223,Mullwood Close,-2.87670735,53.44871332,,E01006670
224,Parkview Road,-2.895309451,53.46188772,,E01006661
225,Petherick Road,-2.895516883,53.46172437,,E01006661
226,Grayling Drive,-2.890755865,53.44870825,Croxteth Country Park,E01006667
227,Grayling Drive,-2.889470139,53.44914929,Croxteth Country Park,E01006670
228,Sydney Street,-2.957496989,53.4650459,Black Bull PH,E01006783
229,Warbreck Avenue,-2.958682596,53.46418245,Warbreck Avenue,E01006783
230,Fazakerley Road,-2.961602035,53.45472969,,E01006787
231,West Derby Cemetery,-2.916589516,53.45127235,West Derby Cemetery,E01006734
232,Falmouth Road,-2.898284967,53.46013954,,E01006663
233,Milvale Convent,-2.902549162,53.45596356,,E01006662
234,Standard Road,-2.902540203,53.45554115,,E01006662
235,Veronica Close,-2.888459749,53.45196132,,E01006665
236,Cavendish Drive,-2.964396253,53.45176781,Cavendish Drive,E01006791
237,Peploe Drive,-2.939665742,53.4447559,,E01006729
238,Peploe Road,-2.939669884,53.44426148,,E01006612
239,Forsythia Close,-2.94528501,53.45032958,,E01032510
240,Forsythia Close,-2.945006229,53.44998122,,E01032511
241,Chestnut Road,-2.948424088,53.45199459,,E01032511
242,Chestnut Road,-2.947964799,53.45165666,,E01032511
243,Blackthorne Road,-2.941666211,53.44874916,,E01032510
244,Parthenon Drive,-2.937051646,53.44980119,Parthenon Drive,E01032510
245,Stopgate Lane,-2.934951747,53.45086035,Stopgate Lane,E01032510
246,Tilston Road,-2.93693453,53.45132122,Tilston Road,E01032510
247,Ardville Road,-2.935644981,53.44951559,The Crown PH,E01032510
248,Trispen Road,-2.894492929,53.45600619,Croxteth County Primary School,E01006667
249,Trispen Road,-2.893949719,53.45595632,Croxteth County Primary School,E01006661
250,Kents Bank,-2.902535042,53.44393665,,E01006623
251,Police Station,-2.922206781,53.45754824,Police Station,E01006660
252,Verwood Drive,-2.871653003,53.45189639,,E01006668
253,Freesia Avenue,-2.951920548,53.45346791,Lavender Way,E01032511
254,Orrell Park Station,-2.96180426,53.46101126,Orrell Park Station,E01006785
255,Orrell Park Station,-2.960227209,53.46254306,Orrell Park Station,E01006785
256,Rice Lane Station,-2.963165704,53.45794409,Rice Lane Station,E01006786
257,Rice Lane Station,-2.9629962,53.45777467,Rice Lane Station,E01006786
258,Rice Lane Station,-2.962475051,53.45870472,Rice Lane Station,E01006786
259,Rice Lane Station,-2.962157199,53.45863537,Rice Lane Station,E01006785
260,Woodvale Road,-2.878925901,53.45333523,,E01006666
261,Zander Grove,-2.873532972,53.45324895,,E01006668
262,Nightingale Road,-2.875350326,53.45374801,,E01006666
263,Norris Green Road,-2.919554483,53.44004948,,E01033759
264,Norris Green Park,-2.919414746,53.43985281,,E01006604
265,Police Station,-2.922951452,53.4578571,Police Station,E01006659
266,Lavender Way,-2.956641643,53.45179422,Cavendish Drive Terminus,E01006791
267,Sonning Road,-2.941287102,53.44658584,,E01006612
268,Aylesford Road,-2.912268148,53.41264444,Liverpool Community College,E01006573
269,Lower Lane,-2.929343052,53.4657087,Aintree University Hospital,E01006659
270,Broadgeen Hospital,-2.901869744,53.41110545,Broadgreen Hospital,E01006567
271,The Green,-2.904260539,53.40821093,The Gardeners Arms PH,E01006566
272,Edge Lane Drive,-2.904605904,53.40818135,The Gardeners Arms PH,E01006566
273,Queens Drive,-2.899697219,53.40653752,The Rocket PH,E01006584
274,Queens Drive,-2.899400398,53.40672853,The Rocket PH,E01006584
275,Broadgreen Station,-2.891542599,53.40574476,,E01006576
276,Domville Road,-2.908743355,53.40750272,Domville Road,E01006585
277,North Drive,-2.904414672,53.42681669,,E01006620
278,Aysgarth Avenue,-2.903514869,53.4262572,,E01006620
279,Central Drive,-2.90185077,53.42442707,Central Drive,E01006620
280,Alvanley Road,-2.901654405,53.4243926,,E01006622
281,Queenscourt Road,-2.900242778,53.42310886,Surgery,E01006621
282,East Lancashire Road,-2.919141595,53.45369769,,E01006662
283,Stonebridge Lane,-2.911344221,53.45807207,,E01006662
284,Stonebridge Lane,-2.909495427,53.45894908,Stonebridge Lane,E01006663
285,Showcase Cinema,-2.915758963,53.45676189,Showcase Cinema,E01006662
286,Showcase Cinema,-2.914480791,53.45755371,Showcase Cinema,E01006660
287,Stonebridge Lane,-2.906462764,53.4594036,Stonebridge Lane,E01006663
288,Stonebridge Lane,-2.905963011,53.45998267,Showcase Cinema,E01006663
289,Back Gillmoss Lane,-2.900893979,53.46100978,Back Gilmoss Lane,E01006663
290,Back Gillmoss Lane,-2.899465184,53.46182055,,E01006663
291,Morningside Road,-2.928449225,53.44062786,,E01006603
292,Broad Lane,-2.929409672,53.4411777,,E01006603
293,Lewisham Road,-2.923389894,53.44474801,Lewisham Road,E01033759
294,Eaton Road,-2.909736249,53.43005719,,E01006619
295,Queenscourt Road,-2.899805304,53.42305822,Surgery,E01006622
296,Dovecot Avenue,-2.882214679,53.41656472,Dovecot park,E01006571
297,Adcote Road,-2.876287261,53.41440611,Boundary Hotel PH,E01006572
298,Altcross Road,-2.903383343,53.4519842,,E01006664
299,Parthenon Drive,-2.931191349,53.44623352,,E01006730
300,Parthenon Drive,-2.931093274,53.44519158,Parthenon Drive,E01006730
301,Gable View,-2.93063379,53.44827833,,E01006737
302,Norwyn Road,-2.930166502,53.448255,,E01006737
303,Lingfield Grove,-2.892472696,53.4092165,,E01006584
304,Worrow Road,-2.908785349,53.45108929,Worrow Road,E01006664
305,Oakgate Close,-2.909908392,53.45079309,Storrington Heys,E01006664
306,Crompton Drive,-2.886407656,53.44959454,,E01006665
307,Springfield Way,-2.886887693,53.43722238,,E01006624
308,Dinas Lane,-2.866828415,53.41759428,,E01006643
309,Page Moss Lane,-2.871618145,53.41268746,,E01006574
310,Ancroft Road,-2.869350186,53.41508604,,E01006574
311,Townsend Avenue,-2.932150473,53.4432777,Scarisbrick Road,E01006730
312,Townsend Avenue,-2.931441319,53.44251918,Townsend Avenue,E01006730
313,Lorenzo Drive,-2.925181937,53.44060827,,E01033759
314,Circular Road West,-2.925299424,53.44047253,,E01006600
315,Richard Kelly Drive,-2.938460839,53.44063949,,E01006616
316,Ricahrd Kelly Drive,-2.939081344,53.44078742,Asda,E01006612
317,Long Lane,-2.921002677,53.45619123,Labour Club,E01006660
318,Moss Pits Lane,-2.930367153,53.46707601,Moss Pitts Infant school,E01006659
319,Taurus Road,-2.871853877,53.42053299,Turriff Road,E01006641
320,Broadgreen Station,-2.892669671,53.4064105,Broadgreen Station,E01006576
321,Oakhill Road,-2.90364813,53.41267404,,E01006565
322,Meadowcroft Park,-2.893367104,53.41887282,Police Station,E01006570
323,Stonebridge Lane,-2.90451546,53.45282058,Stonebridge Lane,E01006662
324,Sedgemoor Road,-2.922782827,53.44522012,Sedgemoor Road,E01006731
325,Stalisfield Avenue,-2.919075299,53.44644423,Stalisfield Avenue,E01006598
326,Scargreen Avenue,-2.918664256,53.44693279,Scargreen Avenue,E01006731
327,Utting Avenue East,-2.918294031,53.44652215,Hail and Ride,E01006598
328,Utting Avenue East,-2.93182354,53.44278586,Utting Avenue East,E01006730
329,Mullion Road,-2.896315653,53.4574577,Mullion Road,E01006661
330,Tintagel Road,-2.894890166,53.4591403,Tintagel Road,E01006661
331,Newlyn Road,-2.894809643,53.45960832,Newlyn Road,E01006661
332,Willow Way,-2.89689679,53.46216346,Croxteth Terminus,E01006661
333,Waterstone Close,-2.906460556,53.45223055,Storrington Heys,E01006662
334,Stonefont Close,-2.959791024,53.45122064,,E01006791
335,Broadgreen Station,-2.892815988,53.40836898,,E01006584
336,Crompton Drive,-2.886855761,53.44942042,,E01006670
337,Cottesbrook Road,-2.914236147,53.44897127,Lowerhouse Lane,E01006734
338,Langley Close,-2.880336207,53.44944169,Stand Farm PH,E01006670
339,Croxteth Comp School,-2.901529212,53.45758026,Croxteth Comp School,E01006662
340,Parkstile Lane,-2.904091423,53.45341706,,E01006662
341,Storrington Avenue,-2.904702826,53.45313377,,E01006662
342,Sceptre Road,-2.899777926,53.45381817,Sceptre Road,E01006662
343,Unicorn Road,-2.899502673,53.4543326,Unicorn Road,E01006662
344,Back Broadway,-2.930821404,53.44239817,Broadway,E01033759
345,Pilch Lane,-2.889122507,53.41808652,Greyhound PH,E01006571
346,East Prescot Road,-2.889477755,53.41780522,,E01006571
347,Faversham Road,-2.92969049,53.45127895,,E01006735
348,Landford Avenue,-2.92853088,53.45265428,Landford Avenue,E01006735
349,Scargreen Avenue,-2.926036802,53.45291634,,E01006735
350,Scargreen Avenue,-2.92514416,53.45341764,,E01006660
351,Lower House Lane,-2.92079134,53.45408049,,E01006736
352,Lower Lane,-2.921831629,53.45413539,,E01006660
353,East Lancashire Road,-2.919608549,53.45370309,,E01006736
354,Rocky Lane,-2.890932548,53.40534482,,E01006576
355,Longmoor Lane,-2.931995767,53.46852849,Fazakerley Station,E01006655
356,Longmoor Close,-2.930364825,53.46903559,,E01006655
357,Longmoor Close,-2.930565745,53.46926773,Signal Works Road,E01006655
358,Sherwoods Lane,-2.925692617,53.46962919,Sherwoods Lane,E01006653
359,Somerford Road,-2.874404006,53.4201458,Paisley Court,E01006643
360,Pagebank Road,-2.870532711,53.41331561,,E01006574
361,Lingfield Road,-2.896353773,53.40992451,,E01006567
362,Queens Drive,-2.900893079,53.40902741,,E01006584
363,Thomas Drive,-2.901248525,53.40947417,Broadgreen Hospital,E01006567
364,Cubert Road,-2.898133663,53.45582606,Cubert Road,E01006667
365,Cubert Road,-2.89863784,53.45545372,Moss Way,E01006662
366,Trispen Road,-2.896527891,53.45680891,Moss Way,E01006667
367,Glaslyn Way,-2.959921863,53.45101284,,E01006791
368,Carsington Road,-2.913840661,53.44878553,Lowerhouse Lane,E01006598
369,Prescot Road,-2.913011189,53.41291742,,E01032508
370,Sedgemoor Road,-2.929366466,53.45092192,,E01006737
371,Townsend Avenue,-2.929976617,53.45196887,,E01006735
372,Domville Road,-2.910037723,53.40823894,Domville Road,E01006566
373,Stapehill Close,-2.908106061,53.4100694,,E01006566
374,Oakhill Road,-2.909649411,53.41119025,,E01006573
375,Chilcott Road,-2.903475624,53.41305288,,E01006565
376,Chaucer Drive,-2.88069698,53.44941206,Stand Farm PH,E01006670
377,Eaton Road,-2.909192969,53.42998942,,E01006619
378,Sandforth Road,-2.90724705,53.42907837,Sandforth Road,E01006619
379,Norris Green Road,-2.906151347,53.4285114,Marfield Road,E01006619
380,Walsh Road,-2.897479713,53.41195652,Broadgreen Hospital,E01006567
381,St Andrews Avenue,-2.88523492,53.42795818,,E01006568
382,Honeys Green Lane,-2.896059176,53.42095604,Alder Hey Hospital,E01006570
383,Honeys Green Lane,-2.896070252,53.42076719,Alder Road,E01006570
384,Tesco,-2.886508106,53.4348971,Tesco,E01006644
385,Croxteth Comp School,-2.901276839,53.45775295,Croxteth Comp School,E01006662
386,Buttercup Way,-2.954245848,53.45307182,,E01032511
387,Buttercup Way,-2.954058174,53.45343288,,E01032511
388,Lower Lane,-2.929236054,53.46563762,Aintree University Hospital,E01006659
389,Longmoor Lane,-2.931784506,53.46851216,Fazakerley Station,E01006655
390,Waldgrave Road,-2.901187939,53.40589706,The Rocket PH,E01006575
391,Bowring Park Road,-2.899736134,53.40553048,The Rocket PH,E01006576
392,Westway,-2.90492637,53.4006013,,E01006577
393,Newenham Cresent,-2.887863091,53.41830264,Greyhound Public House,E01006571
394,Newenham Crescent,-2.887106755,53.41811051,Greyhound Public House,E01006571
395,Thomas Lane,-2.893739806,53.41081603,Broadgreen Hospital,E01006567
396,Chelwood Avenue,-2.886338492,53.40649363,,E01006773
397,East Prescot Road,-2.893943323,53.41908424,East Prescot Road,E01006570
398,Liverpool John Lennon Airport,-2.854110139,53.33778381,Speke Hall Avenue,E01006741
399,Greenacre Road,-2.857000015,53.36430737,,E01006531
400,Woodend Lane,-2.855380583,53.34873222,Metal Box Factory,E01006739
401,Woodend Lane,-2.854272157,53.34889297,Pharmacy Road,E01006741
402,Triumph Way,-2.864469983,53.3569455,,E01006537
403,Barford Road,-2.864238382,53.35589547,,E01006537
404,Delf Lane,-2.86566447,53.35064459,Skyway House,E01006743
405,Delf Lane,-2.865198191,53.3513581,,E01006739
406,Shaw Road,-2.851518969,53.35245428,Perdio House,E01006739
407,Shaw Lane,-2.85086016,53.35181178,,E01006741
408,Enstone Road,-2.860124208,53.35826232,,E01006537
409,Speke Hall Road,-2.863329813,53.35851782,,E01006537
